aX,aY,aZ,gX,gY,gZ
0.854,0.311,0.080,-10.254,-14.160,-12.939
0.848,0.321,0.064,-6.165,-13.367,-15.137
0.900,0.324,0.056,4.700,-11.475,-19.226
0.901,0.437,0.171,13.062,-11.963,-25.635
0.992,0.436,0.175,33.264,-8.789,-33.264
1.045,0.474,0.220,46.936,-7.996,-37.903
1.047,0.469,0.262,42.297,-11.230,-37.415
1.023,0.427,0.275,31.616,-18.799,-30.823
0.991,0.386,0.230,21.423,-27.283,-17.578

0.449,0.077,0.826,2.563,-1.160,5.615
0.443,0.071,0.824,1.160,-0.916,5.859
0.449,0.068,0.820,0.916,-0.610,5.188
0.452,0.073,0.825,0.183,-0.061,2.991
0.459,0.070,0.834,0.610,0.793,0.671
0.471,0.062,0.838,2.319,1.038,-0.854
0.482,0.041,0.850,1.587,0.916,-0.244
0.473,0.071,0.842,1.709,0.671,5.310
0.461,0.090,0.851,6.714,2.014,9.766
0.477,0.084,0.854,12.939,3.052,7.996
0.448,0.092,0.847,12.085,0.977,5.493
0.456,0.093,0.844,11.658,-0.977,3.296
0.471,0.091,0.829,12.268,-0.916,0.610
0.469,0.092,0.831,13.916,-0.305,0.305
0.483,0.089,0.810,15.869,1.221,1.953
0.496,0.087,0.828,14.954,2.686,3.296
0.495,0.080,0.837,13.672,4.150,4.578
0.495,0.070,0.826,17.700,5.127,6.836
0.478,0.078,0.823,19.043,5.615,10.071
0.445,0.076,0.813,15.320,5.371,10.437
0.432,0.100,0.822,9.460,3.967,7.935
0.422,0.085,0.841,5.249,2.319,5.066
0.408,0.043,0.823,4.578,1.526,2.014
0.440,0.006,0.795,11.780,1.892,1.526
0.457,-0.002,0.803,29.724,6.348,5.371
0.466,0.033,0.825,44.495,13.916,12.878
0.472,0.026,0.835,43.457,18.799,18.982
0.427,0.028,0.886,32.776,18.494,20.752
0.433,0.020,0.885,27.283,16.602,20.386
0.415,-0.013,0.913,31.067,16.418,18.127
0.354,-0.079,0.996,19.775,17.029,19.409
0.226,-0.125,1.146,1.465,20.630,30.823
0.242,-0.131,1.220,10.803,25.940,40.039
0.245,-0.233,1.325,26.855,28.870,34.302
0.248,-0.438,1.659,49.072,33.142,20.569
0.230,-0.656,1.954,49.377,44.678,13.062
0.233,-0.923,2.126,44.067,59.570,12.329
0.140,-1.055,2.376,33.264,71.411,24.414
-0.104,-1.092,2.558,4.639,86.792,52.368
-0.421,-1.050,2.576,-22.522,102.051,81.360
