aX,aY,aZ,gX,gY,gZ
0.016,0.025,0.248,347.351,150.391,87.708
0.031,0.020,0.166,329.956,159.973,87.036
0.102,0.027,0.160,309.387,166.260,89.722
0.167,0.080,0.235,290.771,163.147,93.018
0.195,0.142,0.319,281.982,156.372,93.628
0.167,0.210,0.368,285.217,153.137,90.454
0.137,0.234,0.338,297.729,156.738,86.121
0.189,0.225,0.211,313.232,164.978,84.717
0.282,0.169,0.088,319.702,170.166,82.092
0.367,0.116,-0.003,314.941,168.091,74.768
0.383,0.049,-0.012,303.040,161.987,63.416
0.268,0.062,0.000,292.297,156.311,52.917
0.129,0.060,0.028,289.917,159.485,51.025
-0.044,0.081,0.007,296.021,172.546,58.655
-0.217,0.098,-0.198,307.678,195.618,75.562
-0.389,0.191,-0.566,312.683,227.295,99.792
-0.538,0.337,-1.044,306.213,262.817,126.953
-0.676,0.556,-1.646,294.495,296.936,156.616
-1.048,0.915,-2.323,286.072,324.463,190.735
-1.620,1.506,-3.086,281.555,337.463,219.788
-1.912,1.898,-3.930,270.691,323.242,233.337
-1.554,1.752,-4.000,245.972,246.826,229.309
-0.977,1.433,-4.000,170.349,102.539,200.928
-0.321,1.081,-3.846,48.889,-33.020,137.512
0.210,0.720,-2.685,-52.551,-124.329,66.895
0.580,0.431,-1.443,-125.732,-178.711,14.771
0.909,0.193,-0.244,-166.748,-190.857,-11.353
1.246,-0.017,0.734,-166.443,-164.612,-19.287
1.581,-0.248,1.300,-120.850,-111.572,-13.733
1.815,-0.437,1.348,-49.805,-42.725,-7.019
1.838,-0.562,0.978,23.437,18.188,-7.751
1.604,-0.563,0.468,83.374,52.551,-18.494
1.125,-0.432,-0.056,123.535,69.946,-31.677
0.564,-0.223,-0.591,146.729,84.656,-40.100
0.055,-0.005,-1.151,155.090,96.924,-37.415
-0.306,0.169,-1.682,146.851,100.403,-24.414
-0.458,0.237,-2.097,122.864,89.966,-8.484
-0.493,0.269,-2.251,81.726,64.697,2.625
-0.391,0.228,-2.065,31.433,29.053,8.057
-0.197,0.142,-1.661,-12.817,-3.235,12.695
0.154,-0.054,-1.230,-39.917,-25.574,17.883
0.537,-0.233,-0.839,-50.415,-33.081,24.658
0.893,-0.338,-0.512,-49.255,-26.855,31.189
1.112,-0.309,-0.230,-40.039,-13.367,30.762
1.155,-0.227,-0.077,-18.372,-0.793,19.409
1.043,-0.161,-0.150,14.771,7.568,2.502
0.834,-0.110,-0.392,48.340,14.038,-12.085
0.574,-0.070,-0.703,69.824,21.423,-21.912
0.320,-0.046,-0.993,78.003,25.696,-22.461
0.106,-0.014,-1.231,73.975,25.757,-13.489
0.014,0.018,-1.386,56.885,24.658,0.366
0.058,0.040,-1.463,31.494,22.949,15.442
0.182,0.044,-1.463,5.249,16.357,25.696
0.313,0.042,-1.322,-14.893,7.019,28.381
0.438,0.016,-1.103,-25.696,-1.465,25.818
0.561,-0.017,-0.880,-27.710,-6.714,19.409
0.618,-0.059,-0.714,-20.874,-9.583,10.315
0.622,-0.134,-0.659,-6.348,-10.620,0.671
0.570,-0.174,-0.672,6.775,-8.789,-6.104
0.503,-0.192,-0.734,15.930,-4.883,-7.751
0.419,-0.145,-0.832,21.362,-0.977,-4.272
0.362,-0.092,-0.951,21.118,3.479,1.038
0.325,-0.040,-1.056,17.090,5.798,5.981
0.307,-0.004,-1.127,11.658,4.150,8.667
0.329,-0.001,-1.145,4.517,1.099,9.766
0.376,-0.014,-1.120,-3.540,-2.502,9.766
0.425,-0.031,-1.054,-12.207,-4.578,8.911
0.477,-0.044,-0.948,-19.165,-6.226,8.240
0.511,-0.031,-0.828,-21.973,-6.165,6.409
0.538,-0.029,-0.756,-16.846,-5.920,1.892
0.520,-0.047,-0.759,-6.165,-7.019,-2.686
0.485,-0.065,-0.820,3.418,-6.531,-4.944
0.434,-0.053,-0.883,7.324,-4.517,-3.662
0.403,-0.037,-0.950,6.653,-2.502,0.061
0.400,-0.012,-0.997,2.319,-0.122,5.310
0.423,0.005,-1.026,-2.747,1.343,8.789
0.468,-0.007,-1.011,-6.897,0.000,9.033
0.525,-0.034,-0.965,-10.437,-2.258,6.287
0.548,-0.062,-0.891,-11.597,-3.357,1.038
0.523,-0.084,-0.850,-8.423,-5.066,-4.700
0.491,-0.114,-0.845,-3.296,-5.310,-9.460
0.430,-0.130,-0.861,0.000,-3.906,-11.230
0.360,-0.128,-0.897,1.892,-2.563,-9.033
0.318,-0.113,-0.958,2.014,-0.244,-3.845
0.343,-0.116,-0.988,-0.305,1.404,2.319
0.370,-0.107,-0.968,-5.005,1.404,8.667
0.407,-0.100,-0.926,-8.789,0.610,13.672
0.438,-0.089,-0.904,-10.315,0.122,16.907
0.473,-0.077,-0.921,-9.521,-0.488,17.761
0.499,-0.053,-0.952,-9.033,-1.465,15.747
0.501,-0.020,-0.973,-9.338,-2.625,11.841
0.493,0.005,-0.984,-9.521,-4.578,7.690
0.496,0.001,-0.990,-10.864,-6.348,3.723
0.501,-0.008,-0.951,-14.038,-7.019,1.099
0.519,-0.049,-0.880,-16.174,-6.592,-0.366
0.516,-0.068,-0.808,-16.418,-5.371,-0.305
0.517,-0.107,-0.756,-13.062,-3.357,-0.183
0.505,-0.137,-0.753,-7.507,-0.977,-0.244

-0.640,0.626,2.139,171.692,-45.776,36.621
-0.660,0.559,2.170,198.242,-40.649,43.762
-0.690,0.511,2.157,225.159,-23.621,54.260
-0.744,0.578,2.124,243.591,3.540,67.627
-0.748,0.621,2.068,261.414,37.170,78.735
-0.658,0.623,1.995,283.447,73.364,86.853
-0.593,0.654,1.898,305.481,106.934,93.628
-0.539,0.678,1.773,326.416,131.165,101.746
-0.484,0.621,1.610,349.792,147.034,108.887
-0.460,0.573,1.435,370.422,160.095,113.647
-0.457,0.507,1.260,387.268,175.598,115.784
-0.440,0.407,1.076,401.733,197.205,119.080
-0.413,0.295,0.907,413.269,220.520,122.620
-0.383,0.226,0.757,419.006,239.258,125.854
-0.355,0.199,0.623,420.837,249.023,131.104
-0.294,0.163,0.504,423.157,250.671,137.085
-0.209,0.134,0.359,418.457,245.056,143.494
-0.124,0.092,0.267,398.987,229.614,144.287
-0.060,0.024,0.275,372.925,209.106,136.414
-0.044,-0.031,0.291,348.206,193.176,125.916
-0.028,-0.062,0.265,330.505,185.059,117.920
-0.055,-0.031,0.269,312.988,185.181,112.427
-0.081,-0.008,0.317,296.021,188.293,109.070
-0.100,0.008,0.375,286.499,193.970,108.398
-0.123,0.042,0.396,285.706,204.346,110.474
-0.148,0.095,0.399,291.504,218.994,114.746
-0.099,0.112,0.382,296.814,231.323,119.812
-0.016,0.150,0.373,301.941,234.680,122.437
0.072,0.147,0.359,308.411,226.624,120.605
0.104,0.197,0.333,316.589,210.632,113.525
0.144,0.191,0.315,327.271,195.923,101.135
0.114,0.211,0.304,336.670,187.500,91.370
0.017,0.250,0.208,347.473,194.702,88.806
-0.138,0.314,0.028,357.727,218.445,91.980
-0.338,0.352,-0.246,362.793,254.517,101.746
-0.496,0.281,-0.602,355.835,297.241,120.483
-0.727,0.260,-1.000,331.116,339.783,147.278
-0.995,0.298,-1.389,294.189,383.057,181.580
-1.330,0.535,-1.751,254.272,426.086,227.478
-1.571,0.818,-2.126,237.427,460.022,299.622
-1.673,1.180,-2.591,240.784,476.013,352.661
-1.732,1.452,-3.176,241.516,452.148,325.989
-1.263,1.483,-3.896,223.206,390.808,245.483
-0.764,1.286,-4.000,192.261,254.517,152.039
